
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 1016268    8.9363322e+01   0.000000e+00   2.813321e+06    755s
 1023133    8.9332174e+01   0.000000e+00   1.635688e+07    760s
 1029997    8.9307255e+01   0.000000e+00   9.710941e+06    765s
 1037719    8.9258987e+01   0.000000e+00   2.009076e+08    770s
 1045441    8.9206464e+01   0.000000e+00   1.668689e+07    775s
 1053167    8.9171809e+01   0.000000e+00   1.738919e+07    780s
 1061319    8.9096161e+01   0.000000e+00   7.987376e+07    785s
 1068612    8.9069651e+01   0.000000e+00   6.326535e+06    790s
 1073760    8.9032162e+01   0.000000e+00   1.591719e+07    795s
 1081066    8.8988962e+01   0.000000e+00   1.019326e+07    800s
 1088789    8.8968516e+01   0.000000e+00   1.903167e+07    805s
 1096082    8.8941296e+01   0.000000e+00   2.291779e+07    810s
 1103375    8.8923114e+01   0.000000e+00   7.313914e+06    815s
 1111526    8.8897272e+01   0.000000e+00   1.301419e+07    820s
 1119677    8.8838982e+01   0.000000e+00   8.897780e+06    825s
 1127828    8.8799171e+01   0.000000e+00   2.555212e+07    830s
 1135550    8.8776111e+01   0.000000e+00   6.059766e+06    835s
 1143701    8.8744852e+01   0.000000e+00   4.655449e+06    840s
 1151423    8.8704619e+01   0.000000e+00   1.164421e+07    845s
 1159574    8.8641889e+01   0.000000e+00   3.167541e+07    850s
 1167296    8.8611603e+01   0.000000e+00   5.496471e+06    855s
 1175447    8.8517314e+01   0.000000e+00   1.545579e+07    860s
 1183598    8.8459420e+01   0.000000e+00   4.884714e+06    865s
 1191320    8.8420272e+01   0.000000e+00   7.048657e+06    870s
 1199042    8.8332971e+01   0.000000e+00   9.159750e+06    875s
 1207193    8.8269145e+01   0.000000e+00   1.355916e+07    880s
 1215344    8.8215586e+01   0.000000e+00   1.044918e+07    885s
 1223495    8.8100407e+01   0.000000e+00   2.577841e+07    890s
 1231217    8.8047171e+01   0.000000e+00   8.988681e+07    895s
 1239368    8.7984103e+01   0.000000e+00   7.625128e+06    900s
 1247090    8.7948253e+01   0.000000e+00   6.729625e+06    905s
 1255241    8.7832659e+01   0.000000e+00   1.634097e+07    910s
 1262963    8.7761453e+01   0.000000e+00   5.587388e+06    915s
 1271114    8.7644170e+01   0.000000e+00   4.176178e+07    920s
 1277978    8.7597617e+01   0.000000e+00   3.639619e+07    925s
 1285271    8.7502805e+01   0.000000e+00   1.871202e+07    930s
 1292993    8.7435353e+01   0.000000e+00   1.556373e+07    935s
 1301573    8.7365872e+01   0.000000e+00   6.057167e+07    940s
 1309724    8.7277168e+01   0.000000e+00   2.348043e+07    945s
 1317446    8.7243853e+01   0.000000e+00   2.674468e+07    950s
 1325597    8.7220915e+01   0.000000e+00   1.210147e+07    955s
 1332934    8.7190530e+01   0.000000e+00   1.356008e+07    960s
 1340227    8.7159080e+01   0.000000e+00   1.585618e+07    965s
 1347949    8.7060489e+01   0.000000e+00   2.282211e+07    970s
 1356100    8.7011166e+01   0.000000e+00   4.581040e+07    975s
 1363822    8.6967405e+01   0.000000e+00   6.609087e+07    980s
 1371544    8.6940603e+01   0.000000e+00   5.014861e+06    985s
 1379266    8.6916206e+01   0.000000e+00   2.315350e+07    990s
 1386988    8.6856752e+01   0.000000e+00   2.348945e+07    995s
 1394716    8.6763821e+01   0.000000e+00   2.017851e+07   1000s
 1402438    8.6736501e+01   0.000000e+00   3.410342e+06   1005s
 1410589    8.6711900e+01   0.000000e+00   7.262406e+07   1010s
 1418740    8.6686601e+01   0.000000e+00   1.088790e+07   1015s
 1426462    8.6665022e+01   0.000000e+00   5.045010e+06   1020s
 1434613    8.6592146e+01   0.000000e+00   7.450595e+06   1025s
 1442764    8.6523392e+01   0.000000e+00   2.693440e+07   1030s
 1450491    8.6449713e+01   0.000000e+00   5.464508e+06   1035s
 1458216    8.6405260e+01   0.000000e+00   6.279208e+07   1040s
 1466797    8.6364189e+01   0.000000e+00   1.734338e+07   1045s
